iter	Passed	Remaining
415	3029	4252
416	3033	4241
417	3039	4231
418	3046	4224
419	3052	4215
420	3065	4215
421	3071	4206
422	3085	4208
423	3093	4202
424	3100	4194
425	3106	4186
426	3113	4177
427	3119	4169
428	3126	4161
429	3134	4154
430	3142	4148
431	3149	4140
432	3155	4131
433	3162	4124
434	3167	4114
435	3174	4106
436	3179	4096
437	3184	4085
438	3191	4078
439	3198	4070
440	3204	4062
441	3210	4052
442	3216	4043
443	3221	4034
444	3227	4025
445	3232	4015
446	3240	4008
447	3244	3997
448	3251	3989
449	3257	3981
450	3263	3972
451	3269	3964
452	3275	3955
453	3281	3946
454	3287	3937
455	3293	3929
456	3298	3918
457	3305	3911
458	3310	3902
459	3318	3895
460	3324	3887
461	3331	3879
462	3338	3871
463	3343	3862
464	3350	3854
465	3355	3844
466	3361	3836
467	3368	3829
468	3374	3821
469	3383	3815
470	3390	3808
471	3397	3801
472	3404	3793
473	3409	3783
474	3419	3779
475	3425	3770
476	3434	3765
477	3439	3756
478	3446	3749
479	3455	3743
480	3465	3739
481	3473	3732
482	3484	3729
483	3492	3722
484	3501	3718
485	3512	3714
486	3523	3711
487	3530	3704
488	3545	3704
489	3552	3697
490	3560	3690
491	3568	3684
492	3579	3680
493	3586	3674
494	3593	3666
495	3599	3657
496	3607	3651
497	3614	3643
498	3623	3637
499	3630	3630
500	3637	3623
501	3645	3616
502	3655	3611
503	3661	3603
504	3669	3597
505	3676	3589
506	3684	3583
507	3695	3578
508	3704	3573
509	3714	3568
510	3722	3562
511	3729	3554
512	3739	3549
513	3749	3545
514	3757	3538
515	3765	3532
516	3773	3524
517	3780	3517
518	3788	3510
519	3795	3503
520	3805	3499
521	3817	3495
522	3833	3496
523	3849	3497
524	3869	3500
525	3883	3499
526	3895	3496
527	3922	3506
528	3961	3526
529	3973	3523
530	3996	3529
531	4022	3538
532	4037	3537
533	4048	3532
534	4078	3545
535	4102	3551
536	4120	3552
537	4135	3551
538	4145	3545
539	4156	3540
540	4167	3535
541	4179	3531
542	4190	3527
543	4203	3523
544	4224	3527
545	4250	3533
546	4269	3535
547	4291	3539
548	4313	3543
549	4334	3546
550	4343	3539
551	4355	3535
552	4364	3527
553	4392	3536
554	4401	3529
555	4410	3521
556	4418	3514
557	4426	3506
558	4433	3497
559	4441	3489
560	4449	3481
561	4458	3474
562	4465	3465
563	4472	3457
564	4479	3449
565	4487	3440
566	4493	3431
567	4500	3422
568	4507	3414
569	4515	3406
570	4520	3396
571	4526	3386
572	4531	3377
573	4538	3368
574	4546	3360
575	4553	3351
576	4559	3342
577	4566	3333
578	4572	3324
579	4580	3316
580	4585	3306
581	4594	3299
582	4601	3291
583	4609	3283
584	4615	3274
585	4622	3265
586	4629	3257
587	4635	3248
588	4643	3240
589	4649	3231
590	4657	3222
591	4667	3216
592	4677	3210
593	4688	3204
594	4696	3196
595	4704	3189
596	4711	3180
597	4720	3173
598	4727	3164
599	4734	3156
600	4742	3148
601	4748	3139
602	4756	3131
603	4764	3123
604	4775	3117
605	4784	3111
606	4791	3102
607	4799	3094
608	4806	3085
609	4813	3077
610	4822	3070
611	4831	3062
612	4837	3054
613	4844	3045
614	4851	3037
615	4857	3027
616	4863	3019
617	4870	3010
618	4879	3003
619	4888	2996
620	4898	2989
621	4905	2981
622	4915	2974
623	4923	2966
624	4929	2957
625	4936	2949
626	4943	2940
627	4950	2932
628	4955	2923
629	4968	2918
630	4973	2908
631	4979	2899
632	4984	2889
633	4989	2880
634	4995	2871
635	5001	2862
636	5008	2854
637	5016	2846
638	5024	2838
639	5030	2829
640	5037	2821
641	5044	2813
642	5052	2805
643	5058	2796
644	5065	2788
645	5071	2779
646	5079	2771
647	5085	2762
648	5093	2754
649	5098	2745
650	5107	2737
651	5113	2729
652	5118	2720
653	5125	2711
654	5131	2703
655	5138	2694
656	5145	2686
657	5152	2678
658	5158	2669
659	5164	2660
660	5169	2651
661	5177	2643
662	5185	2635
663	5191	2627
664	5197	2618
665	5204	2609
666	5210	2601
667	5217	2593
668	5223	2584
669	5229	2575
670	5234	2566
671	5240	2557
672	5246	2548
673	5251	2540
674	5256	2530
675	5260	2521
676	5265	2512
677	5270	2503
678	5275	2494
679	5280	2485
680	5287	2476
681	5293	2468
682	5299	2459
683	5304	2450
684	5310	2441
685	5316	2433
686	5322	2425
687	5329	2416
688	5334	2407
689	5340	2399
690	5345	2390
691	5350	2381
692	5354	2372
693	5361	2364
694	5366	2355
695	5372	2346
696	5378	2338
697	5385	2329
698	5392	2322
699	5398	2313
700	5405	2305
701	5412	2297
702	5417	2288
703	5423	2280
704	5429	2272
705	5436	2263
706	5442	2255
707	5449	2247
708	5460	2240
709	5467	2233
710	5476	2225
711	5482	2217
712	5493	2211
713	5501	2203
714	5509	2195
715	5515	2187
716	5521	2179
717	5529	2171
718	5537	2163
719	5544	2156
720	5550	2147
721	5556	2139
722	5562	2131
723	5568	2122
724	5574	2114
725	5580	2106
726	5584	2097
727	5590	2088
728	5598	2081
729	5605	2073
730	5612	2065
731	5620	2057
732	5628	2050
733	5634	2041
734	5640	2033
735	5647	2025
736	5653	2017
737	5661	2009
738	5667	2001
739	5673	1993
740	5678	1984
741	5684	1976
742	5689	1967
743	5696	1960
744	5701	1951
745	5708	1943
746	5714	1935
747	5721	1927
748	5725	1918
749	5732	1910
750	5738	1902
751	5748	1895
752	5754	1887
753	5762	1879
754	5767	1871
755	5777	1864
756	5784	1856
757	5790	1848
758	5796	1840
759	5802	1832
760	5809	1824
761	5815	1816
762	5820	1807
763	5829	1800
764	5835	1792
765	5844	1785
766	5849	1776
767	5854	1768
768	5860	1760
769	5865	1752
770	5871	1743
771	5876	1735
772	5880	1726
773	5885	1718
774	5891	1710
775	5896	1702
776	5901	1693
777	5907	1685
778	5913	1677
779	5918	1669
780	5925	1661
781	5931	1653
782	5937	1645
783	5942	1637
784	5949	1629
785	5956	1621
786	5966	1614
787	5973	1607
788	5980	1599
789	5987	1591
790	5994	1583
791	6001	1576
792	6006	1567
793	6012	1559
794	6018	1551
795	6023	1543
796	6029	1535
797	6037	1528
798	6042	1520
799	6053	1513
800	6058	1505
801	6064	1497
802	6069	1489
803	6075	1481
804	6082	1473
805	6090	1465
806	6098	1458
807	6104	1450
808	6111	1442
809	6117	1435
810	6123	1427
811	6129	1419
812	6135	1411
813	6140	1403
814	6146	1395
815	6151	1387
816	6157	1379
817	6163	1371
818	6170	1363
819	6176	1355
820	6181	1347
821	6187	1339
822	6193	1332
823	6200	1324
824	6205	1316
825	6212	1308
826	6217	1300
827	6223	1292
828	6229	1284
829	6235	1277
830	6244	1269
831	6249	1261
832	6254	1253
833	6261	1246
834	6266	1238
835	6273	1230
836	6279	1222
837	6284	1214
838	6290	1207
839	6296	1199
840	6301	1191
841	6308	1183
842	6314	1175
843	6322	1168
844	6329	1161
845	6335	1153
846	6340	1145
847	6346	1137
848	6353	1129
849	6360	1122
850	6368	1115
851	6375	1107
852	6380	1099
853	6387	1092
854	6394	1084
855	6400	1076
856	6405	1068
857	6412	1061
858	6417	1053
859	6423	1045
860	6428	1037
861	6434	1030
862	6439	1022
863	6444	1014
864	6450	1006
865	6455	998
866	6461	991
867	6467	983
868	6472	975
869	6478	968
870	6484	960
871	6490	952
872	6496	945
873	6501	937
874	6507	929
875	6512	921
876	6518	914
877	6524	906
878	6529	898
879	6535	891
880	6541	883
881	6549	876
882	6555	868
883	6560	860
884	6568	853
885	6574	845
886	6585	838
887	6593	831
888	6600	824
889	6607	816
890	6614	809
891	6621	801
892	6630	794
893	6635	786
894	6642	779
895	6648	771
896	6654	764
897	6661	756
898	6667	749
899	6675	741
900	6680	734
901	6688	726
902	6693	719
903	6700	711
904	6714	704
905	6720	697
906	6726	689
907	6732	682
908	6737	674
909	6742	666
910	6748	659
911	6752	651
912	6760	644
913	6766	636
914	6774	629
915	6779	621
916	6786	614
917	6794	606
918	6798	599
919	6806	591
920	6811	584
921	6818	576
922	6824	569
923	6830	561
924	6836	554
925	6843	546
926	6848	539
927	6854	531
928	6860	524
929	6867	516
930	6872	509
931	6879	501
932	6885	494
933	6891	487
934	6897	479
935	6904	472
936	6910	464
937	6919	457
938	6936	450
939	6944	443
940	6950	435
941	6961	428
942	6968	421
943	6973	413
944	6981	406
945	6987	398
946	6994	391
947	7000	384
948	7006	376
949	7013	369
950	7019	361
951	7025	354
952	7030	346
953	7036	339
954	7044	331
955	7050	324
956	7055	317
957	7061	309
958	7066	302
959	7072	294
960	7077	287
961	7084	279
962	7090	272
963	7096	265
964	7101	257
965	7108	250
966	7115	242
967	7121	235
968	7127	228
969	7135	220
970	7143	213
971	7151	205
972	7157	198
973	7164	191
974	7173	183
975	7179	176
976	7186	169
977	7191	161
978	7198	154
979	7205	147
980	7211	139
981	7218	132
982	7223	124
983	7229	117
984	7238	110
985	7245	102
986	7252	95
987	7256	88
988	7262	80
989	7270	73
990	7275	66
991	7283	58
992	7288	51
993	7294	44
994	7299	36
995	7307	29
996	7312	22
997	7319	14
998	7324	7
999	7330	0
