iter	MultiClass
0	1.016500279
1	0.9540085628
2	0.9044110164
3	0.8626918601
4	0.8285952505
5	0.798605426
6	0.7717776106
7	0.7492738187
8	0.7288084215
9	0.7108736054
10	0.6946622419
11	0.6793445302
12	0.6673847257
13	0.6561198901
14	0.6460844629
15	0.6363183957
16	0.6273530066
17	0.6202743654
18	0.6131736376
19	0.6066406073
20	0.6007533235
21	0.5952492225
22	0.5899596607
23	0.5850167562
24	0.580297951
25	0.5763826548
26	0.5722752333
27	0.5680004261
28	0.5646132941
29	0.5612636376
30	0.5581843925
31	0.5556856033
32	0.552643494
33	0.5496076283
34	0.546370934
35	0.5433487292
36	0.5410915175
37	0.5380296667
38	0.5357357238
39	0.5337787299
40	0.5316421309
41	0.5295737446
42	0.5278652881
43	0.5255145406
44	0.524169004
45	0.5225175244
46	0.5201780164
47	0.5186925026
48	0.517515849
49	0.5160024973
50	0.5145614594
51	0.5130808722
52	0.5119770981
53	0.5108599162
54	0.5091101192
55	0.5079928028
56	0.5066905693
57	0.5051428903
58	0.5035528748
59	0.5023419798
60	0.5008858138
61	0.5000718294
62	0.49847224
63	0.4974096295
64	0.4964321094
65	0.4953483868
66	0.4939820368
67	0.4929947047
68	0.4914160952
69	0.4907563735
70	0.4901925361
71	0.4893895066
72	0.4878272361
73	0.4864097658
74	0.4857338463
75	0.4847933288
76	0.4837174229
77	0.4821980665
78	0.4815164631
79	0.4805579206
80	0.4794957468
81	0.4794714569
82	0.4784393221
83	0.478409517
84	0.4774944059
85	0.4774701211
86	0.47668759
87	0.4758783311
88	0.4758558029
89	0.4751785492
90	0.4741854446
91	0.4727797483
92	0.4721033939
93	0.4708037683
94	0.4707794561
95	0.470752161
96	0.4697055399
97	0.4692309614
98	0.4678679698
99	0.467471069
100	0.4667979098
101	0.466113181
102	0.4654381991
103	0.4644824005
104	0.4636519539
105	0.4625358961
106	0.4617909727
107	0.461773388
108	0.4609565318
109	0.4609349403
110	0.4609118502
111	0.4598075056
112	0.4597838621
113	0.4593310627
